Address,Type,NFTs,GasFee(ETH),GasFee(USD)
0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,wallet,2,0.854382869255417185,2983.4109973242985
0xb4522eB2cA49963De9c3dC69023cBe6D53489C98,wallet,2,1.830079344574371388,6390.435762525802
0xC54570b8EB8138aCE95132b944b7b6Bb391976Dc,wallet,1,0.067269370695109135,234.89724283654462
0x99eb33756a2eAa32f5964A747722c4b59e6aF351,wallet,5,0.051150264743819304,178.6110979562952
0x1D932E6489B5e4091eE078db497799237b354191,wallet,1,0.17379195745811683,606.8623983284235
0xd4D9C70fcc8a3e920aD48d1cB1596F8f097C96B7,wallet,1,0,0
0x16Ed0fe6952DAB8Bb1f1c1dD132A24d15b094419,wallet,1,0.040370399883821502,140.96899565031745
0xAC3c2F091eDEA973F666173b3eBd242A80FE411c,wallet,1,0.032530956658393215,113.59452224587668
0xDF632eA5Ba8283488aAe8538e17a2F802243A61A,wallet,1,0.05568289741029615,194.43855263803903
0x6B3DE22ec227D168dFAEE06F1Fc629B49eB73e60,wallet,1,0.492190333781533232,1718.674504628398
0x2b45B60F4e2E2afF24b38c6f0658DC657FF61ac5,wallet,1,0,0
0xb4f3C1fA3EAE271057056232cfFcCb4CDf3DD222,wallet,1,0,0
0x741a7a1581413979A9a0bCac02A65eFc2A43cdBd,wallet,1,0,0
0x6E8D55b532169429bC9cb83f944CD62156D173a4,wallet,1,0,0
0xaBE151E6753B3fC96954CEA3e677baBC415cEE8a,wallet,1,0.000486374927913,1.6983677470301255
0x25aD2667B19e866109c1a93102b816730a6Aec3f,wallet,1,0.359521050249471426,1255.4079601556268
0x97b102e00d88F02DEBfD6b1e4B901Dd6931bB982,wallet,1,0.069160798077916109,241.5018992002945
0xF3F49Dd68586335EE3b01A86368043508c962C2a,wallet,1,0.62886054399253578,2195.9118449620955
0x06c4865ab16c9C760622f19a313a2E637E2e66a2,wallet,1,0.053948563222148279,188.38244842978733
0x7Cdd33EC534Fd8F270C002eF9dB3b34f7e4CcaF3,wallet,1,0.055089747705932317,192.36733911686798
0x17D60e33385700247741d8A0C2db0D4Ac28130d7,wallet,1,0.214141657160537447,747.7591112223091
0x8e39060218bfD0463c4893949BE0a19C8BD90daf,wallet,1,0.086483587669910831,301.99117494868494
0x046f601CbcBfa162228897AC75C9B61dAF5cEe5F,wallet,1,0.293891414032467457,1026.2364897458326
0x6786939a63Acf04B5Ea7Ab42178A30E1453F7453,wallet,1,0.07332294218237437,256.03564857721125
0xaE139be36A9AaF91af8F719740cE3a2F7102E66e,wallet,2,0.035153565886106472,122.75238518203632
